"id","from_code","to_code","departure_time","arrival_time","price","airline","duration","stops","created_at"
1,"DEL","BOM","2026-05-10 05:10:00","2026-05-10 07:15:00",3850,"IndiGo",125,0,"2026-04-19 02:48:46.608338"
2,"DEL","BOM","2026-05-10 06:30:00","2026-05-10 08:45:00",4200,"Air India",135,0,"2026-04-19 02:48:46.608338"
3,"DEL","BOM","2026-05-10 08:00:00","2026-05-10 10:10:00",5600,"Vistara",130,0,"2026-04-19 02:48:46.608338"
4,"DEL","BOM","2026-05-10 10:30:00","2026-05-10 12:40:00",6800,"IndiGo",130,0,"2026-04-19 02:48:46.608338"
5,"DEL","BOM","2026-05-10 13:00:00","2026-05-10 15:15:00",5400,"Akasa Air",135,0,"2026-04-19 02:48:46.608338"
6,"DEL","BOM","2026-05-10 16:00:00","2026-05-10 18:10:00",7200,"Vistara",130,0,"2026-04-19 02:48:46.608338"
7,"DEL","BOM","2026-05-10 19:30:00","2026-05-10 21:45:00",6500,"Air India",135,0,"2026-04-19 02:48:46.608338"
8,"DEL","BOM","2026-05-10 21:45:00","2026-05-10 23:55:00",4100,"IndiGo",130,0,"2026-04-19 02:48:46.608338"
9,"DEL","BOM","2026-05-11 05:20:00","2026-05-11 07:30:00",3700,"Akasa Air",130,0,"2026-04-19 02:48:46.608338"
10,"DEL","BOM","2026-05-11 07:15:00","2026-05-11 09:25:00",5100,"IndiGo",130,0,"2026-04-19 02:48:46.608338"
11,"DEL","BOM","2026-05-11 09:45:00","2026-05-11 12:00:00",7500,"Vistara",135,0,"2026-04-19 02:48:46.608338"
12,"DEL","BOM","2026-05-11 12:30:00","2026-05-11 14:45:00",6200,"Air India",135,0,"2026-04-19 02:48:46.608338"
13,"DEL","BOM","2026-05-11 15:00:00","2026-05-11 17:10:00",5800,"IndiGo",130,0,"2026-04-19 02:48:46.608338"
14,"DEL","BOM","2026-05-11 18:00:00","2026-05-11 20:15:00",8100,"Vistara",135,0,"2026-04-19 02:48:46.608338"
15,"DEL","BOM","2026-05-11 22:00:00","2026-05-12 00:10:00",3900,"Akasa Air",130,0,"2026-04-19 02:48:46.608338"
16,"DEL","BOM","2026-05-12 05:45:00","2026-05-12 07:55:00",3600,"IndiGo",130,0,"2026-04-19 02:48:46.608338"
17,"DEL","BOM","2026-05-12 08:30:00","2026-05-12 10:45:00",5900,"Air India",135,0,"2026-04-19 02:48:46.608338"
18,"DEL","BOM","2026-05-12 11:00:00","2026-05-12 13:15:00",6700,"Vistara",135,0,"2026-04-19 02:48:46.608338"
19,"DEL","BOM","2026-05-12 14:00:00","2026-05-12 16:10:00",5500,"Akasa Air",130,0,"2026-04-19 02:48:46.608338"
20,"DEL","BOM","2026-05-12 17:30:00","2026-05-12 19:45:00",7800,"IndiGo",135,0,"2026-04-19 02:48:46.608338"
21,"DEL","BOM","2026-05-12 20:00:00","2026-05-12 22:10:00",6300,"Air India",130,0,"2026-04-19 02:48:46.608338"
22,"DEL","BOM","2026-05-13 06:00:00","2026-05-13 08:10:00",4300,"IndiGo",130,0,"2026-04-19 02:48:46.608338"
23,"DEL","BOM","2026-05-13 10:00:00","2026-05-13 12:15:00",6100,"Vistara",135,0,"2026-04-19 02:48:46.608338"
24,"DEL","BOM","2026-05-13 13:30:00","2026-05-13 15:40:00",5200,"Akasa Air",130,0,"2026-04-19 02:48:46.608338"
25,"DEL","BOM","2026-05-13 17:00:00","2026-05-13 19:15:00",7600,"Air India",135,0,"2026-04-19 02:48:46.608338"
26,"DEL","BOM","2026-05-13 21:00:00","2026-05-13 23:10:00",4800,"IndiGo",130,0,"2026-04-19 02:48:46.608338"
27,"DEL","BOM","2026-05-14 05:30:00","2026-05-14 07:40:00",3950,"Akasa Air",130,0,"2026-04-19 02:48:46.608338"
28,"DEL","BOM","2026-05-14 09:00:00","2026-05-14 11:15:00",6400,"Vistara",135,0,"2026-04-19 02:48:46.608338"
